Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
1.3200e-02,0.0266719
1.3232e-02,0.0266094
1.3264e-02,0.0273812
1.3296e-02,0.0272656
1.3328e-02,0.0271875
1.3360e-02,0.0276281
1.3392e-02,0.0271
1.3424e-02,0.0272094
1.3456e-02,0.0270156
1.3488e-02,0.0261187
1.3520e-02,0.0269594
1.3552e-02,0.0270625
1.3584e-02,0.0265031
1.3616e-02,0.0259031
1.3648e-02,0.0258594
1.3680e-02,0.025425
1.3712e-02,0.0259031
1.3744e-02,0.0267125
1.3776e-02,0.026975
1.3808e-02,0.0269281
1.3840e-02,0.0275156
1.3872e-02,0.0277312
1.3904e-02,0.0272656
1.3936e-02,0.0271062
1.3968e-02,0.0262937
1.4000e-02,0.0267219
1.4032e-02,0.027225
1.4064e-02,0.0282406
1.4096e-02,0.02835
1.4128e-02,0.0276562
1.4160e-02,0.0271031
1.4192e-02,0.0266344
1.4224e-02,0.026575
1.4256e-02,0.02615
1.4288e-02,0.0268406
1.4320e-02,0.0270562
1.4352e-02,0.0272781
1.4384e-02,0.0272125
1.4416e-02,0.0270656
1.4448e-02,0.0268437
1.4480e-02,0.0269469
1.4512e-02,0.0279406
1.4544e-02,0.0284531
1.4576e-02,0.027525
1.4608e-02,0.0276969
1.4640e-02,0.0276187
1.4672e-02,0.0279594
1.4704e-02,0.0272844
1.4736e-02,0.027575
1.4768e-02,0.027575
1.4800e-02,0.0278937
1.4832e-02,0.0271937
1.4864e-02,0.0263312
1.4896e-02,0.0259812
1.4928e-02,0.0262031
1.4960e-02,0.0268406
1.4992e-02,0.02735
1.5024e-02,0.0275562
1.5056e-02,0.0282094
1.5088e-02,0.0279875
1.5120e-02,0.0275469
1.5152e-02,0.027175
1.5184e-02,0.0271281
1.5216e-02,0.0272781
1.5248e-02,0.0288531
1.5280e-02,0.029225
1.5312e-02,0.0282031
1.5344e-02,0.027525
1.5376e-02,0.0274281
1.5408e-02,0.0280375
1.5440e-02,0.0285156
1.5472e-02,0.0284812
1.5504e-02,0.0286125
1.5536e-02,0.028125
1.5568e-02,0.0286687
1.5600e-02,0.0285281
1.5632e-02,0.0281562
1.5664e-02,0.02835
1.5696e-02,0.028575
1.5728e-02,0.0293
1.5760e-02,0.030275
1.5792e-02,0.030025
1.5824e-02,0.0296719
1.5856e-02,0.0299937
1.5888e-02,0.0296781
1.5920e-02,0.0298906
1.5952e-02,0.0299187
1.5984e-02,0.0304156
1.6016e-02,0.0306
1.6048e-02,0.0309875
1.6080e-02,0.0314687
1.6112e-02,0.032575
1.6144e-02,0.0333219
1.6176e-02,0.0338781
1.6208e-02,0.0343312
1.6240e-02,0.0340187
1.6272e-02,0.0340344
1.6304e-02,0.0356406
1.6336e-02,0.0369625
1.6368e-02,0.0382406
1.6400e-02,0.0375406
1.6432e-02,0.0380406
1.6464e-02,0.039725
1.6496e-02,0.041675
1.6528e-02,0.0424937
1.6560e-02,0.0426156
1.6592e-02,0.0430406
1.6624e-02,0.0448969
1.6656e-02,0.0485719
1.6688e-02,0.0505094
1.6720e-02,0.0506844
1.6752e-02,0.0513562
1.6784e-02,0.0505875
1.6816e-02,0.0508656
1.6848e-02,0.0532
1.6880e-02,0.0545781
1.6912e-02,0.0568219
1.6944e-02,0.0575
1.6976e-02,0.05925
1.7008e-02,0.0618781
1.7040e-02,0.064525
1.7072e-02,0.0669469
1.7104e-02,0.0674187
1.7136e-02,0.0683781
1.7168e-02,0.0671875
1.7200e-02,0.066675
1.7232e-02,0.0672
1.7264e-02,0.0681937
1.7296e-02,0.0700875
1.7328e-02,0.0716187
1.7360e-02,0.0739
1.7392e-02,0.074675
1.7424e-02,0.0757437
1.7456e-02,0.0756875
1.7488e-02,0.0753312
1.7520e-02,0.0754469
1.7552e-02,0.0761125
1.7584e-02,0.0774187
1.7616e-02,0.0775437
1.7648e-02,0.0785719
1.7680e-02,0.0791469
1.7712e-02,0.0806156
1.7744e-02,0.0809719
1.7776e-02,0.0800437
1.7808e-02,0.0795156
1.7840e-02,0.07835
1.7872e-02,0.0762312
1.7904e-02,0.0753719
1.7936e-02,0.076425
1.7968e-02,0.076925
1.8000e-02,0.0776594
1.8032e-02,0.0766125
1.8064e-02,0.0750437
1.8096e-02,0.0764406
1.8128e-02,0.0751469
1.8160e-02,0.0748719
1.8192e-02,0.0738687
1.8224e-02,0.0724469
1.8256e-02,0.0703625
1.8288e-02,0.0682844
1.8320e-02,0.0676719
1.8352e-02,0.06705
1.8384e-02,0.065525
1.8416e-02,0.0645687
1.8448e-02,0.0654062
1.8480e-02,0.0663219
1.8512e-02,0.0654687
1.8544e-02,0.0638844
1.8576e-02,0.0619
1.8608e-02,0.0611875
1.8640e-02,0.0593469
1.8672e-02,0.0567437
1.8704e-02,0.0548969
1.8736e-02,0.0543875
1.8768e-02,0.0527
1.8800e-02,0.0517625
1.8832e-02,0.0506625
1.8864e-02,0.0486219
1.8896e-02,0.0469031
1.8928e-02,0.0455125
1.8960e-02,0.045375
1.8992e-02,0.0441406
1.9024e-02,0.0426406
1.9056e-02,0.041225
1.9088e-02,0.0402719
1.9120e-02,0.0395312
1.9152e-02,0.0385594
1.9184e-02,0.0386844
1.9216e-02,0.0379406
1.9248e-02,0.0379156
1.9280e-02,0.0376062
1.9312e-02,0.0363656
1.9344e-02,0.0354437
1.9376e-02,0.0347531
1.9408e-02,0.0337375
1.9440e-02,0.0330062
1.9472e-02,0.0328031
1.9504e-02,0.0337406
1.9536e-02,0.0338969
1.9568e-02,0.034475
1.9600e-02,0.0333875
1.9632e-02,0.0330625
1.9664e-02,0.0335844
1.9696e-02,0.0332031
1.9728e-02,0.0324531
1.9760e-02,0.0316625
1.9792e-02,0.0311844
1.9824e-02,0.0311
1.9856e-02,0.0302531
1.9888e-02,0.0290187
1.9920e-02,0.0286094
1.9952e-02,0.0283531
1.9984e-02,0.0287969
2.0016e-02,0.0301719
2.0048e-02,0.0310156
2.0080e-02,0.0302125
2.0112e-02,0.0294656
2.0144e-02,0.0284312
2.0176e-02,0.02825
2.0208e-02,0.0293344
2.0240e-02,0.0291156
2.0272e-02,0.0288594
2.0304e-02,0.0281781
2.0336e-02,0.0278906
2.0368e-02,0.027725
2.0400e-02,0.0275187
2.0432e-02,0.0274531
2.0464e-02,0.0268469
2.0496e-02,0.0264687
2.0528e-02,0.026125
2.0560e-02,0.0262062
2.0592e-02,0.027225
2.0624e-02,0.0278
2.0656e-02,0.0280094
2.0688e-02,0.0281062
2.0720e-02,0.0278562
2.0752e-02,0.0277687
2.0784e-02,0.0271437
2.0816e-02,0.0268781
2.0848e-02,0.0279344
2.0880e-02,0.0282625
2.0912e-02,0.0283937
2.0944e-02,0.0277031
2.0976e-02,0.0270219
2.1008e-02,0.0270687
2.1040e-02,0.0277125
2.1072e-02,0.0284687
2.1104e-02,0.0280875
2.1136e-02,0.0286594
2.1168e-02,0.0285844
2.1200e-02,0.028975
2.1232e-02,0.0283812
2.1264e-02,0.0283719
2.1296e-02,0.0277469
2.1328e-02,0.0275375
2.1360e-02,0.0274906
2.1392e-02,0.0278031
2.1424e-02,0.0282875
2.1456e-02,0.0284219
2.1488e-02,0.0276844
2.1520e-02,0.0266656
2.1552e-02,0.0261656
2.1584e-02,0.0259219
